item_name	detected_path	type	size	git_remote	git_commit	git_branch	archive_hash	usable	duplicate	selected_copy	notes
go1_handstand.onnx	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/go1/go1_handstand.onnx	data_or_checkpoint	767340					unknown	no	yes	unitree
go1_joystick.onnx	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/go1/go1_joystick.onnx	data_or_checkpoint	774148					unknown	no	yes	unitree
policy.onnx	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/go2/policy.onnx	data_or_checkpoint	772894					unknown	yes	no	unitree; duplicate_name
hf_lafan1_retargeting_readme.md	/mnt/infini-data/test/BeyondMimic/download/manifests/hf_lafan1_retargeting_readme.md	documentation	4268					unknown	no	yes	lafan
zenodo_17529720_metadata.json	/mnt/infini-data/test/BeyondMimic/download/manifests/zenodo_17529720_metadata.json	data_or_checkpoint	10086					unknown	no	yes	zenodo
Dataset_beyondmimic.zip	/mnt/infini-data/test/BeyondMimic/download/official/Dataset_beyondmimic.zip	archive	3636273065				540d04571791dc8c684443a6334d7e74bef61a1c231237a9f5f9dfacd4647ae1	unknown	no	yes	beyondmimic
README.md	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/README.md	documentation	4268					unknown	yes	no	lafan; duplicate_name
dataset_infos.json	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/dataset_infos.json	data_or_checkpoint	1278					unknown	no	yes	lafan
dance1_subject1.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance1_subject1.csv	data_or_checkpoint	1348661					unknown	yes	yes	lafan; duplicate_name
dance1_subject2.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance1_subject2.csv	data_or_checkpoint	1352694					unknown	yes	yes	lafan; duplicate_name
dance1_subject3.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance1_subject3.csv	data_or_checkpoint	1349707					unknown	yes	yes	lafan; duplicate_name
dance2_subject1.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject1.csv	data_or_checkpoint	2313604					unknown	yes	yes	lafan; duplicate_name
dance2_subject2.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject2.csv	data_or_checkpoint	2321777					unknown	yes	yes	lafan; duplicate_name
