sample_id	source_motion	sequence_length	state_dim	latent_dim	action_dim	current_index	current_action_mse	full_window_action_mse	current_action_max_abs_error	current_action_norm	next_latent_action_delta	mean_action_delta	latent_norm_mean	decoded_action_finite
run2_subject1_frames_1_180_state_fixture_window_0015	run2_subject1_frames_1_180	21	99	32	29	4	0.00013411353831437444	0.0001240371602529166	0.025786131620407104	1.3352181128679161	0.05233598685399819	0.04158010627718066	1.0103713348311616	True
run2_subject1_frames_1_180_state_fixture_window_0016	run2_subject1_frames_1_180	21	99	32	29	4	0.0001344202213094336	8.639399210549076e-05	0.022911638021469116	1.3709436489953533	0.03598201605669648	0.02626450234061787	1.021302629435757	True
run2_subject1_frames_1_180_state_fixture_window_0017	run2_subject1_frames_1_180	21	99	32	29	4	7.028512012543469e-05	5.714694751819167e-05	0.017915286123752594	1.3286822442378576	0.029534518341810288	0.01822540978926352	1.0626497729132225	True
run2_subject1_frames_1_180_state_fixture_window_0018	run2_subject1_frames_1_180	21	99	32	29	4	4.1938094799662e-05	4.358414540040945e-05	0.01545727252960205	1.3147067574092015	0.018350660170700854	0.011886373247284625	1.085461751144408	True
run2_subject1_frames_1_180_state_fixture_window_0019	run2_subject1_frames_1_180	21	99	32	29	4	4.4628556254118925e-05	4.273748179605083e-05	0.014293015003204346	1.3238911624304306	0.009519228125669518	0.009458214438409203	1.089264879160296	True
run2_subject1_frames_1_180_state_fixture_window_0020	run2_subject1_frames_1_180	21	99	32	29	4	4.012522750972271e-05	4.638547826937138e-05	0.0157434344291687	1.3284544966394507	0.012789750184136812	0.008148213586143751	1.0853984939170833	True
run2_subject1_frames_1_180_state_fixture_window_0021	run2_subject1_frames_1_180	21	99	32	29	4	4.495377105060757e-05	4.43564669369095e-05	0.016255289316177368	1.3274701653818666	0.006676772242024735	0.006434635272785259	1.0891920848012842	True
run2_subject1_frames_1_180_state_fixture_window_0022	run2_subject1_frames_1_180	21	99	32	29	4	4.687917165702938e-05	5.55543474668536e-05	0.013660669326782227	1.3326841528871527	0.005483761071618385	0.014470134110153415	1.0952728976174724	True
run2_subject1_frames_1_180_state_fixture_window_0023	run2_subject1_frames_1_180	21	99	32	29	4	5.2280878874987965e-05	0.00013029916829492003	0.014690220355987549	1.3315632899967678	0.015082978683141927	0.059353949027568374	1.104082154784668	True
run2_subject1_frames_1_180_state_fixture_window_0024	run2_subject1_frames_1_180	21	99	32	29	4	0.0001766381654111866	0.0002346785607850948	0.028638094663619995	1.3131449270167994	0.15706443330772735	0.10009918102743531	1.155379385597578	True
